medal_id,medal_type,discipline_code,event,medal_date
915,Gold Medal,SAL,Women's Windsurfer - RS:X,2021-07-31
916,Silver Medal,SAL,Women's Windsurfer - RS:X,2021-07-31
917,Bronze Medal,SAL,Women's Windsurfer - RS:X,2021-07-31
918,Gold Medal,SHO,50m Rifle 3 Positions Women,2021-07-31
919,Silver Medal,SHO,50m Rifle 3 Positions Women,2021-07-31
920,Bronze Medal,SHO,50m Rifle 3 Positions Women,2021-07-31
921,Gold Medal,SHO,Trap Mixed Team,2021-07-31
922,Gold Medal,SHO,Trap Mixed Team,2021-07-31
923,Silver Medal,SHO,Trap Mixed Team,2021-07-31
924,Silver Medal,SHO,Trap Mixed Team,2021-07-31
925,Bronze Medal,SHO,Trap Mixed Team,2021-07-31
926,Bronze Medal,SHO,Trap Mixed Team,2021-07-31
927,Gold Medal,SWM,Men's 100m Butterfly,2021-07-31
928,Silver Medal,SWM,Men's 100m Butterfly,2021-07-31
929,Bronze Medal,SWM,Men's 100m Butterfly,2021-07-31
930,Gold Medal,SWM,Mixed 4 x 100m Medley Relay,2021-07-31
931,Gold Medal,SWM,Mixed 4 x 100m Medley Relay,2021-07-31
932,Gold Medal,SWM,Mixed 4 x 100m Medley Relay,2021-07-31
933,Gold Medal,SWM,Mixed 4 x 100m Medley Relay,2021-07-31
934,Gold Medal,SWM,Mixed 4 x 100m Medley Relay,2021-07-31
935,Silver Medal,SWM,Mixed 4 x 100m Medley Relay,2021-07-31
936,Silver Medal,SWM,Mixed 4 x 100m Medley Relay,2021-07-31
937,Silver Medal,SWM,Mixed 4 x 100m Medley Relay,2021-07-31
938,Silver Medal,SWM,Mixed 4 x 100m Medley Relay,2021-07-31
939,Bronze Medal,SWM,Mixed 4 x 100m Medley Relay,2021-07-31
940,Bronze Medal,SWM,Mixed 4 x 100m Medley Relay,2021-07-31
941,Bronze Medal,SWM,Mixed 4 x 100m Medley Relay,2021-07-31
942,Bronze Medal,SWM,Mixed 4 x 100m Medley Relay,2021-07-31
943,Bronze Medal,SWM,Mixed 4 x 100m Medley Relay,2021-07-31
944,Bronze Medal,SWM,Mixed 4 x 100m Medley Relay,2021-07-31
945,Bronze Medal,SWM,Mixed 4 x 100m Medley Relay,2021-07-31
946,Gold Medal,SWM,Women's 200m Backstroke,2021-07-31
947,Silver Medal,SWM,Women's 200m Backstroke,2021-07-31
948,Bronze Medal,SWM,Women's 200m Backstroke,2021-07-31
949,Gold Medal,SWM,Women's 800m Freestyle,2021-07-31
950,Silver Medal,SWM,Women's 800m Freestyle,2021-07-31
951,Bronze Medal,SWM,Women's 800m Freestyle,2021-07-31
952,Bronze Medal,TEN,Men's Singles,2021-07-31
953,Bronze Medal,TEN,Mixed Doubles,2021-07-31
954,Bronze Medal,TEN,Mixed Doubles,2021-07-31
955,Bronze Medal,TEN,Women's Doubles,2021-07-31
956,Bronze Medal,TEN,Women's Doubles,2021-07-31
957,Gold Medal,TEN,Women's Singles,2021-07-31
958,Silver Medal,TEN,Women's Singles,2021-07-31
959,Bronze Medal,TEN,Women's Singles,2021-07-31
960,Gold Medal,GTR,Men,2021-07-31
961,Silver Medal,GTR,Men,2021-07-31
962,Bronze Medal,GTR,Men,2021-07-31
963,Gold Medal,TRI,Mixed Relay,2021-07-31
964,Gold Medal,TRI,Mixed Relay,2021-07-31
965,Gold Medal,TRI,Mixed Relay,2021-07-31
966,Gold Medal,TRI,Mixed Relay,2021-07-31
967,Silver Medal,TRI,Mixed Relay,2021-07-31
968,Silver Medal,TRI,Mixed Relay,2021-07-31
969,Silver Medal,TRI,Mixed Relay,2021-07-31
970,Silver Medal,TRI,Mixed Relay,2021-07-31
971,Bronze Medal,TRI,Mixed Relay,2021-07-31
972,Bronze Medal,TRI,Mixed Relay,2021-07-31
973,Bronze Medal,TRI,Mixed Relay,2021-07-31
974,Bronze Medal,TRI,Mixed Relay,2021-07-31
975,Gold Medal,WLF,Men's 81kg,2021-07-31
976,Silver Medal,WLF,Men's 81kg,2021-07-31
977,Bronze Medal,WLF,Men's 81kg,2021-07-31
978,Gold Medal,WLF,Men's 96kg,2021-07-31
979,Silver Medal,WLF,Men's 96kg,2021-07-31
980,Bronze Medal,WLF,Men's 96kg,2021-07-31
981,Gold Medal,GAR,Men's Floor Exercise,2021-08-01
982,Silver Medal,GAR,Men's Floor Exercise,2021-08-01
983,Bronze Medal,GAR,Men's Floor Exercise,2021-08-01
984,Gold Medal,GAR,Men's Pommel Horse,2021-08-01
985,Silver Medal,GAR,Men's Pommel Horse,2021-08-01
986,Bronze Medal,GAR,Men's Pommel Horse,2021-08-01
987,Gold Medal,GAR,Women's Uneven Bars,2021-08-01
988,Silver Medal,GAR,Women's Uneven Bars,2021-08-01
989,Bronze Medal,GAR,Women's Uneven Bars,2021-08-01
990,Gold Medal,GAR,Women's Vault,2021-08-01
991,Silver Medal,GAR,Women's Vault,2021-08-01
992,Bronze Medal,GAR,Women's Vault,2021-08-01
993,Gold Medal,ATH,Men's 100m,2021-08-01
994,Silver Medal,ATH,Men's 100m,2021-08-01
995,Bronze Medal,ATH,Men's 100m,2021-08-01
996,Gold Medal,ATH,Men's High Jump,2021-08-01
997,Gold Medal,ATH,Men's High Jump,2021-08-01
998,Bronze Medal,ATH,Men's High Jump,2021-08-01
999,Gold Medal,ATH,Women's Shot Put,2021-08-01
1000,Silver Medal,ATH,Women's Shot Put,2021-08-01
1001,Bronze Medal,ATH,Women's Shot Put,2021-08-01
1002,Gold Medal,ATH,Women's Triple Jump,2021-08-01
1003,Silver Medal,ATH,Women's Triple Jump,2021-08-01
1004,Bronze Medal,ATH,Women's Triple Jump,2021-08-01
1005,Gold Medal,BDM,Women's Singles,2021-08-01
1006,Silver Medal,BDM,Women's Singles,2021-08-01
1007,Bronze Medal,BDM,Women's Singles,2021-08-01
1008,Bronze Medal,BOX,Men's Light Heavy (75-81kg),2021-08-01
1009,Bronze Medal,BOX,Men's Light Heavy (75-81kg),2021-08-01
1010,Bronze Medal,BOX,Men's Welter (63-69kg),2021-08-01
1011,Bronze Medal,BOX,Men's Welter (63-69kg),2021-08-01
1012,Gold Medal,BMF,Men's Park,2021-08-01
1013,Silver Medal,BMF,Men's Park,2021-08-01
1014,Bronze Medal,BMF,Men's Park,2021-08-01
1015,Gold Medal,BMF,Women's Park,2021-08-01
1016,Silver Medal,BMF,Women's Park,2021-08-01
1017,Bronze Medal,BMF,Women's Park,2021-08-01
1018,Gold Medal,DIV,Women's 3m Springboard,2021-08-01
1019,Silver Medal,DIV,Women's 3m Springboard,2021-08-01
1020,Bronze Medal,DIV,Women's 3m Springboard,2021-08-01
1021,Gold Medal,FEN,Men's Foil Team,2021-08-01
1022,Gold Medal,FEN,Men's Foil Team,2021-08-01
1023,Gold Medal,FEN,Men's Foil Team,2021-08-01
1024,Gold Medal,FEN,Men's Foil Team,2021-08-01
1025,Silver Medal,FEN,Men's Foil Team,2021-08-01
1026,Silver Medal,FEN,Men's Foil Team,2021-08-01
1027,Silver Medal,FEN,Men's Foil Team,2021-08-01
1028,Silver Medal,FEN,Men's Foil Team,2021-08-01
1029,Bronze Medal,FEN,Men's Foil Team,2021-08-01
1030,Bronze Medal,FEN,Men's Foil Team,2021-08-01
1031,Bronze Medal,FEN,Men's Foil Team,2021-08-01
1032,Bronze Medal,FEN,Men's Foil Team,2021-08-01
1033,Gold Medal,GLF,Men's Individual Stroke Play,2021-08-01
1034,Silver Medal,GLF,Men's Individual Stroke Play,2021-08-01
1035,Bronze Medal,GLF,Men's Individual Stroke Play,2021-08-01
1036,Gold Medal,SAL,Men's One Person Dinghy - Laser,2021-08-01
1037,Silver Medal,SAL,Men's One Person Dinghy - Laser,2021-08-01
1038,Bronze Medal,SAL,Men's One Person Dinghy - Laser,2021-08-01
1039,Gold Medal,SAL,Women's One Person Dinghy - Laser Radial,2021-08-01
1040,Silver Medal,SAL,Women's One Person Dinghy - Laser Radial,2021-08-01
1041,Bronze Medal,SAL,Women's One Person Dinghy - Laser Radial,2021-08-01
1042,Gold Medal,SWM,Men's 1500m Freestyle,2021-08-01
1043,Silver Medal,SWM,Men's 1500m Freestyle,2021-08-01
1044,Bronze Medal,SWM,Men's 1500m Freestyle,2021-08-01
1045,Gold Medal,SWM,Men's 4 x 100m Medley Relay,2021-08-01
1046,Gold Medal,SWM,Men's 4 x 100m Medley Relay,2021-08-01
1047,Gold Medal,SWM,Men's 4 x 100m Medley Relay,2021-08-01
1048,Gold Medal,SWM,Men's 4 x 100m Medley Relay,2021-08-01
1049,Gold Medal,SWM,Men's 4 x 100m Medley Relay,2021-08-01
1050,Gold Medal,SWM,Men's 4 x 100m Medley Relay,2021-08-01
1051,Gold Medal,SWM,Men's 4 x 100m Medley Relay,2021-08-01
1052,Gold Medal,SWM,Men's 4 x 100m Medley Relay,2021-08-01
1053,Silver Medal,SWM,Men's 4 x 100m Medley Relay,2021-08-01
1054,Silver Medal,SWM,Men's 4 x 100m Medley Relay,2021-08-01
1055,Silver Medal,SWM,Men's 4 x 100m Medley Relay,2021-08-01
1056,Silver Medal,SWM,Men's 4 x 100m Medley Relay,2021-08-01
1057,Silver Medal,SWM,Men's 4 x 100m Medley Relay,2021-08-01
1058,Bronze Medal,SWM,Men's 4 x 100m Medley Relay,2021-08-01
1059,Bronze Medal,SWM,Men's 4 x 100m Medley Relay,2021-08-01
1060,Bronze Medal,SWM,Men's 4 x 100m Medley Relay,2021-08-01
1061,Bronze Medal,SWM,Men's 4 x 100m Medley Relay,2021-08-01
1062,Gold Medal,SWM,Men's 50m Freestyle,2021-08-01
1063,Silver Medal,SWM,Men's 50m Freestyle,2021-08-01
1064,Bronze Medal,SWM,Men's 50m Freestyle,2021-08-01
1065,Gold Medal,SWM,Women's 4 x 100m Medley Relay,2021-08-01
1066,Gold Medal,SWM,Women's 4 x 100m Medley Relay,2021-08-01
1067,Gold Medal,SWM,Women's 4 x 100m Medley Relay,2021-08-01
1068,Gold Medal,SWM,Women's 4 x 100m Medley Relay,2021-08-01
1069,Gold Medal,SWM,Women's 4 x 100m Medley Relay,2021-08-01
1070,Gold Medal,SWM,Women's 4 x 100m Medley Relay,2021-08-01
1071,Gold Medal,SWM,Women's 4 x 100m Medley Relay,2021-08-01
1072,Silver Medal,SWM,Women's 4 x 100m Medley Relay,2021-08-01
1073,Silver Medal,SWM,Women's 4 x 100m Medley Relay,2021-08-01
1074,Silver Medal,SWM,Women's 4 x 100m Medley Relay,2021-08-01
1075,Silver Medal,SWM,Women's 4 x 100m Medley Relay,2021-08-01
1076,Silver Medal,SWM,Women's 4 x 100m Medley Relay,2021-08-01
1077,Silver Medal,SWM,Women's 4 x 100m Medley Relay,2021-08-01
1078,Silver Medal,SWM,Women's 4 x 100m Medley Relay,2021-08-01
1079,Silver Medal,SWM,Women's 4 x 100m Medley Relay,2021-08-01
1080,Bronze Medal,SWM,Women's 4 x 100m Medley Relay,2021-08-01
1081,Bronze Medal,SWM,Women's 4 x 100m Medley Relay,2021-08-01
1082,Bronze Medal,SWM,Women's 4 x 100m Medley Relay,2021-08-01
1083,Bronze Medal,SWM,Women's 4 x 100m Medley Relay,2021-08-01
1084,Bronze Medal,SWM,Women's 4 x 100m Medley Relay,2021-08-01
1085,Bronze Medal,SWM,Women's 4 x 100m Medley Relay,2021-08-01
1086,Gold Medal,SWM,Women's 50m Freestyle,2021-08-01
1087,Silver Medal,SWM,Women's 50m Freestyle,2021-08-01
1088,Bronze Medal,SWM,Women's 50m Freestyle,2021-08-01
1089,Gold Medal,TEN,Men's Singles,2021-08-01
1090,Silver Medal,TEN,Men's Singles,2021-08-01
1091,Gold Medal,TEN,Mixed Doubles,2021-08-01
1092,Gold Medal,TEN,Mixed Doubles,2021-08-01
1093,Silver Medal,TEN,Mixed Doubles,2021-08-01
1094,Silver Medal,TEN,Mixed Doubles,2021-08-01
1095,Gold Medal,TEN,Women's Doubles,2021-08-01
1096,Gold Medal,TEN,Women's Doubles,2021-08-01
1097,Silver Medal,TEN,Women's Doubles,2021-08-01
1098,Silver Medal,TEN,Women's Doubles,2021-08-01
1099,Gold Medal,WLF,Women's 76kg,2021-08-01
1100,Silver Medal,WLF,Women's 76kg,2021-08-01
1101,Bronze Medal,WLF,Women's 76kg,2021-08-01
1102,Gold Medal,GAR,Men's Rings,2021-08-02
1103,Silver Medal,GAR,Men's Rings,2021-08-02
1104,Bronze Medal,GAR,Men's Rings,2021-08-02
1105,Gold Medal,GAR,Men's Vault,2021-08-02
1106,Silver Medal,GAR,Men's Vault,2021-08-02
1107,Bronze Medal,GAR,Men's Vault,2021-08-02
1108,Gold Medal,GAR,Women's Floor Exercise,2021-08-02
1109,Silver Medal,GAR,Women's Floor Exercise,2021-08-02
1110,Bronze Medal,GAR,Women's Floor Exercise,2021-08-02
1111,Bronze Medal,GAR,Women's Floor Exercise,2021-08-02
1112,Gold Medal,ATH,Men's 3000m Steeplechase,2021-08-02
1113,Silver Medal,ATH,Men's 3000m Steeplechase,2021-08-02
1114,Bronze Medal,ATH,Men's 3000m Steeplechase,2021-08-02
1115,Gold Medal,ATH,Men's Long Jump,2021-08-02
1116,Silver Medal,ATH,Men's Long Jump,2021-08-02
1117,Bronze Medal,ATH,Men's Long Jump,2021-08-02
1118,Gold Medal,ATH,Women's 100m Hurdles,2021-08-02
1119,Silver Medal,ATH,Women's 100m Hurdles,2021-08-02
1120,Bronze Medal,ATH,Women's 100m Hurdles,2021-08-02
1121,Gold Medal,ATH,Women's 5000m,2021-08-02
1122,Silver Medal,ATH,Women's 5000m,2021-08-02
1123,Bronze Medal,ATH,Women's 5000m,2021-08-02
1124,Gold Medal,ATH,Women's Discus Throw,2021-08-02
1125,Silver Medal,ATH,Women's Discus Throw,2021-08-02
1126,Bronze Medal,ATH,Women's Discus Throw,2021-08-02
1127,Gold Medal,BDM,Men's Singles,2021-08-02
1128,Silver Medal,BDM,Men's Singles,2021-08-02
1129,Bronze Medal,BDM,Men's Singles,2021-08-02
1130,Gold Medal,BDM,Women's Doubles,2021-08-02
1131,Gold Medal,BDM,Women's Doubles,2021-08-02
1132,Silver Medal,BDM,Women's Doubles,2021-08-02
1133,Silver Medal,BDM,Women's Doubles,2021-08-02
1134,Bronze Medal,BDM,Women's Doubles,2021-08-02
1135,Bronze Medal,BDM,Women's Doubles,2021-08-02
1136,Gold Medal,CTR,Women's Team Sprint,2021-08-02
1137,Gold Medal,CTR,Women's Team Sprint,2021-08-02
1138,Silver Medal,CTR,Women's Team Sprint,2021-08-02
1139,Silver Medal,CTR,Women's Team Sprint,2021-08-02
1140,Bronze Medal,CTR,Women's Team Sprint,2021-08-02
1141,Bronze Medal,CTR,Women's Team Sprint,2021-08-02
1142,Gold Medal,EQU,Eventing Individual,2021-08-02
1143,Silver Medal,EQU,Eventing Individual,2021-08-02
1144,Bronze Medal,EQU,Eventing Individual,2021-08-02
1145,Gold Medal,EQU,Eventing Team,2021-08-02
1146,Gold Medal,EQU,Eventing Team,2021-08-02
1147,Gold Medal,EQU,Eventing Team,2021-08-02
1148,Silver Medal,EQU,Eventing Team,2021-08-02
1149,Silver Medal,EQU,Eventing Team,2021-08-02
1150,Silver Medal,EQU,Eventing Team,2021-08-02
1151,Bronze Medal,EQU,Eventing Team,2021-08-02
1152,Bronze Medal,EQU,Eventing Team,2021-08-02
1153,Bronze Medal,EQU,Eventing Team,2021-08-02
1154,Gold Medal,SHO,25m Rapid Fire Pistol Men,2021-08-02
1155,Silver Medal,SHO,25m Rapid Fire Pistol Men,2021-08-02
1156,Bronze Medal,SHO,25m Rapid Fire Pistol Men,2021-08-02
1157,Gold Medal,SHO,50m Rifle 3 Positions Men,2021-08-02
1158,Silver Medal,SHO,50m Rifle 3 Positions Men,2021-08-02
1159,Bronze Medal,SHO,50m Rifle 3 Positions Men,2021-08-02
1160,Gold Medal,WLF,Women's +87kg,2021-08-02
1161,Silver Medal,WLF,Women's +87kg,2021-08-02
1162,Bronze Medal,WLF,Women's +87kg,2021-08-02
1163,Gold Medal,WLF,Women's 87kg,2021-08-02
1164,Silver Medal,WLF,Women's 87kg,2021-08-02
1165,Bronze Medal,WLF,Women's 87kg,2021-08-02
1166,Gold Medal,WRE,Men's Greco-Roman 130kg,2021-08-02
1167,Silver Medal,WRE,Men's Greco-Roman 130kg,2021-08-02
1168,Bronze Medal,WRE,Men's Greco-Roman 130kg,2021-08-02
1169,Bronze Medal,WRE,Men's Greco-Roman 130kg,2021-08-02
1170,Gold Medal,WRE,Men's Greco-Roman 60kg,2021-08-02
1171,Silver Medal,WRE,Men's Greco-Roman 60kg,2021-08-02
1172,Bronze Medal,WRE,Men's Greco-Roman 60kg,2021-08-02
1173,Bronze Medal,WRE,Men's Greco-Roman 60kg,2021-08-02
1174,Gold Medal,WRE,Women's Freestyle 76kg,2021-08-02
1175,Silver Medal,WRE,Women's Freestyle 76kg,2021-08-02
1176,Bronze Medal,WRE,Women's Freestyle 76kg,2021-08-02
1177,Bronze Medal,WRE,Women's Freestyle 76kg,2021-08-02
1178,Gold Medal,GAR,Men's Horizontal Bar,2021-08-03
1179,Silver Medal,GAR,Men's Horizontal Bar,2021-08-03
1180,Bronze Medal,GAR,Men's Horizontal Bar,2021-08-03
1181,Gold Medal,GAR,Men's Parallel Bars,2021-08-03
1182,Silver Medal,GAR,Men's Parallel Bars,2021-08-03
1183,Bronze Medal,GAR,Men's Parallel Bars,2021-08-03
1184,Gold Medal,GAR,Women's Balance Beam,2021-08-03
1185,Silver Medal,GAR,Women's Balance Beam,2021-08-03
1186,Bronze Medal,GAR,Women's Balance Beam,2021-08-03
1187,Gold Medal,ATH,Men's 400m Hurdles,2021-08-03
1188,Silver Medal,ATH,Men's 400m Hurdles,2021-08-03
1189,Bronze Medal,ATH,Men's 400m Hurdles,2021-08-03
1190,Gold Medal,ATH,Men's Pole Vault,2021-08-03
1191,Silver Medal,ATH,Men's Pole Vault,2021-08-03
1192,Bronze Medal,ATH,Men's Pole Vault,2021-08-03
1193,Gold Medal,ATH,Women's 200m,2021-08-03
1194,Silver Medal,ATH,Women's 200m,2021-08-03
1195,Bronze Medal,ATH,Women's 200m,2021-08-03
1196,Gold Medal,ATH,Women's 800m,2021-08-03
1197,Silver Medal,ATH,Women's 800m,2021-08-03
1198,Bronze Medal,ATH,Women's 800m,2021-08-03
1199,Gold Medal,ATH,Women's Hammer Throw,2021-08-03
1200,Silver Medal,ATH,Women's Hammer Throw,2021-08-03
1201,Bronze Medal,ATH,Women's Hammer Throw,2021-08-03
1202,Gold Medal,ATH,Women's Long Jump,2021-08-03
1203,Silver Medal,ATH,Women's Long Jump,2021-08-03
1204,Bronze Medal,ATH,Women's Long Jump,2021-08-03
1205,Bronze Medal,BOX,Men's Feather (52-57kg),2021-08-03
1206,Bronze Medal,BOX,Men's Feather (52-57kg),2021-08-03
1207,Bronze Medal,BOX,Men's Heavy (81-91kg),2021-08-03
1208,Bronze Medal,BOX,Men's Heavy (81-91kg),2021-08-03
1209,Gold Medal,BOX,Men's Welter (63-69kg),2021-08-03
1210,Silver Medal,BOX,Men's Welter (63-69kg),2021-08-03
1211,Gold Medal,BOX,Women's Feather (54-57kg),2021-08-03
1212,Silver Medal,BOX,Women's Feather (54-57kg),2021-08-03
1213,Gold Medal,CSP,Men's Canoe Double 1000m,2021-08-03
1214,Gold Medal,CSP,Men's Canoe Double 1000m,2021-08-03
1215,Silver Medal,CSP,Men's Canoe Double 1000m,2021-08-03
1216,Silver Medal,CSP,Men's Canoe Double 1000m,2021-08-03
1217,Bronze Medal,CSP,Men's Canoe Double 1000m,2021-08-03
1218,Bronze Medal,CSP,Men's Canoe Double 1000m,2021-08-03
1219,Gold Medal,CSP,Men's Kayak Single 1000m,2021-08-03
1220,Silver Medal,CSP,Men's Kayak Single 1000m,2021-08-03
1221,Bronze Medal,CSP,Men's Kayak Single 1000m,2021-08-03
1222,Gold Medal,CSP,Women's Kayak Double 500m,2021-08-03
1223,Gold Medal,CSP,Women's Kayak Double 500m,2021-08-03
1224,Silver Medal,CSP,Women's Kayak Double 500m,2021-08-03
1225,Silver Medal,CSP,Women's Kayak Double 500m,2021-08-03
1226,Bronze Medal,CSP,Women's Kayak Double 500m,2021-08-03
1227,Bronze Medal,CSP,Women's Kayak Double 500m,2021-08-03
1228,Gold Medal,CSP,Women's Kayak Single 200m,2021-08-03
1229,Silver Medal,CSP,Women's Kayak Single 200m,2021-08-03
1230,Bronze Medal,CSP,Women's Kayak Single 200m,2021-08-03
1231,Gold Medal,CTR,Men's Team Sprint,2021-08-03
1232,Gold Medal,CTR,Men's Team Sprint,2021-08-03
1233,Gold Medal,CTR,Men's Team Sprint,2021-08-03
1234,Gold Medal,CTR,Men's Team Sprint,2021-08-03
1235,Silver Medal,CTR,Men's Team Sprint,2021-08-03
1236,Silver Medal,CTR,Men's Team Sprint,2021-08-03
1237,Silver Medal,CTR,Men's Team Sprint,2021-08-03
1238,Bronze Medal,CTR,Men's Team Sprint,2021-08-03
1239,Bronze Medal,CTR,Men's Team Sprint,2021-08-03
1240,Bronze Medal,CTR,Men's Team Sprint,2021-08-03
1241,Gold Medal,CTR,Women's Team Pursuit,2021-08-03
1242,Gold Medal,CTR,Women's Team Pursuit,2021-08-03
1243,Gold Medal,CTR,Women's Team Pursuit,2021-08-03
1244,Gold Medal,CTR,Women's Team Pursuit,2021-08-03
1245,Silver Medal,CTR,Women's Team Pursuit,2021-08-03
1246,Silver Medal,CTR,Women's Team Pursuit,2021-08-03
1247,Silver Medal,CTR,Women's Team Pursuit,2021-08-03
1248,Silver Medal,CTR,Women's Team Pursuit,2021-08-03
1249,Silver Medal,CTR,Women's Team Pursuit,2021-08-03
1250,Bronze Medal,CTR,Women's Team Pursuit,2021-08-03
1251,Bronze Medal,CTR,Women's Team Pursuit,2021-08-03
1252,Bronze Medal,CTR,Women's Team Pursuit,2021-08-03
1253,Bronze Medal,CTR,Women's Team Pursuit,2021-08-03
1254,Bronze Medal,CTR,Women's Team Pursuit,2021-08-03
1255,Gold Medal,DIV,Men's 3m Springboard,2021-08-03
1256,Silver Medal,DIV,Men's 3m Springboard,2021-08-03
1257,Bronze Medal,DIV,Men's 3m Springboard,2021-08-03
1258,Gold Medal,SAL,Men's One Person Dinghy (Heavyweight) - Finn,2021-08-03
1259,Silver Medal,SAL,Men's One Person Dinghy (Heavyweight) - Finn,2021-08-03
1260,Bronze Medal,SAL,Men's One Person Dinghy (Heavyweight) - Finn,2021-08-03
1261,Gold Medal,SAL,Men's Skiff - 49er,2021-08-03
1262,Gold Medal,SAL,Men's Skiff - 49er,2021-08-03
1263,Silver Medal,SAL,Men's Skiff - 49er,2021-08-03
1264,Silver Medal,SAL,Men's Skiff - 49er,2021-08-03
1265,Bronze Medal,SAL,Men's Skiff - 49er,2021-08-03
1266,Bronze Medal,SAL,Men's Skiff - 49er,2021-08-03
1267,Gold Medal,SAL,Mixed Multihull - Nacra 17 Foiling,2021-08-03
1268,Gold Medal,SAL,Mixed Multihull - Nacra 17 Foiling,2021-08-03
1269,Silver Medal,SAL,Mixed Multihull - Nacra 17 Foiling,2021-08-03
1270,Silver Medal,SAL,Mixed Multihull - Nacra 17 Foiling,2021-08-03
1271,Bronze Medal,SAL,Mixed Multihull - Nacra 17 Foiling,2021-08-03
1272,Bronze Medal,SAL,Mixed Multihull - Nacra 17 Foiling,2021-08-03
1273,Gold Medal,SAL,Women's Skiff - 49er FX,2021-08-03
1274,Gold Medal,SAL,Women's Skiff - 49er FX,2021-08-03
1275,Silver Medal,SAL,Women's Skiff - 49er FX,2021-08-03
1276,Silver Medal,SAL,Women's Skiff - 49er FX,2021-08-03
1277,Bronze Medal,SAL,Women's Skiff - 49er FX,2021-08-03
1278,Bronze Medal,SAL,Women's Skiff - 49er FX,2021-08-03
1279,Gold Medal,WLF,Men's 109kg,2021-08-03
1280,Silver Medal,WLF,Men's 109kg,2021-08-03
1281,Bronze Medal,WLF,Men's 109kg,2021-08-03
1282,Gold Medal,WRE,Men's Greco-Roman 77kg,2021-08-03
1283,Silver Medal,WRE,Men's Greco-Roman 77kg,2021-08-03
1284,Bronze Medal,WRE,Men's Greco-Roman 77kg,2021-08-03
1285,Bronze Medal,WRE,Men's Greco-Roman 77kg,2021-08-03
1286,Gold Medal,WRE,Men's Greco-Roman 97kg,2021-08-03
1287,Silver Medal,WRE,Men's Greco-Roman 97kg,2021-08-03
1288,Bronze Medal,WRE,Men's Greco-Roman 97kg,2021-08-03
1289,Bronze Medal,WRE,Men's Greco-Roman 97kg,2021-08-03
1290,Gold Medal,WRE,Women's Freestyle 68kg,2021-08-03
1291,Silver Medal,WRE,Women's Freestyle 68kg,2021-08-03
1292,Bronze Medal,WRE,Women's Freestyle 68kg,2021-08-03
1293,Bronze Medal,WRE,Women's Freestyle 68kg,2021-08-03
1294,Gold Medal,SWA,Duet,2021-08-04
1295,Gold Medal,SWA,Duet,2021-08-04
1296,Silver Medal,SWA,Duet,2021-08-04
1297,Silver Medal,SWA,Duet,2021-08-04
1298,Bronze Medal,SWA,Duet,2021-08-04
1299,Bronze Medal,SWA,Duet,2021-08-04
1300,Gold Medal,ATH,Men's 200m,2021-08-04
1301,Silver Medal,ATH,Men's 200m,2021-08-04
1302,Bronze Medal,ATH,Men's 200m,2021-08-04
1303,Gold Medal,ATH,Men's 800m,2021-08-04
1304,Silver Medal,ATH,Men's 800m,2021-08-04
1305,Bronze Medal,ATH,Men's 800m,2021-08-04
1306,Gold Medal,ATH,Men's Decathlon,2021-08-04
1307,Silver Medal,ATH,Men's Decathlon,2021-08-04
1308,Bronze Medal,ATH,Men's Decathlon,2021-08-04
1309,Gold Medal,ATH,Men's Hammer Throw,2021-08-04
1310,Silver Medal,ATH,Men's Hammer Throw,2021-08-04
1311,Bronze Medal,ATH,Men's Hammer Throw,2021-08-04
1312,Gold Medal,ATH,Women's 3000m Steeplechase,2021-08-04
1313,Silver Medal,ATH,Women's 3000m Steeplechase,2021-08-04
1314,Bronze Medal,ATH,Women's 3000m Steeplechase,2021-08-04
1315,Gold Medal,ATH,Women's 400m Hurdles,2021-08-04
1316,Silver Medal,ATH,Women's 400m Hurdles,2021-08-04
1317,Bronze Medal,ATH,Women's 400m Hurdles,2021-08-04
1318,Gold Medal,ATH,Women's Heptathlon,2021-08-04
1319,Silver Medal,ATH,Women's Heptathlon,2021-08-04
1320,Bronze Medal,ATH,Women's Heptathlon,2021-08-04
1321,Gold Medal,BOX,Men's Light Heavy (75-81kg),2021-08-04
1322,Silver Medal,BOX,Men's Light Heavy (75-81kg),2021-08-04
1323,Bronze Medal,BOX,Men's Super Heavy (+91kg),2021-08-04
1324,Bronze Medal,BOX,Men's Super Heavy (+91kg),2021-08-04
1325,Bronze Medal,BOX,Women's Fly (48-51kg),2021-08-04
1326,Bronze Medal,BOX,Women's Fly (48-51kg),2021-08-04
1327,Bronze Medal,BOX,Women's Welter (64-69kg),2021-08-04
1328,Bronze Medal,BOX,Women's Welter (64-69kg),2021-08-04
1329,Gold Medal,CTR,Men's Team Pursuit,2021-08-04
1330,Gold Medal,CTR,Men's Team Pursuit,2021-08-04
1331,Gold Medal,CTR,Men's Team Pursuit,2021-08-04
1332,Gold Medal,CTR,Men's Team Pursuit,2021-08-04
1333,Silver Medal,CTR,Men's Team Pursuit,2021-08-04
1334,Silver Medal,CTR,Men's Team Pursuit,2021-08-04
1335,Silver Medal,CTR,Men's Team Pursuit,2021-08-04
1336,Silver Medal,CTR,Men's Team Pursuit,2021-08-04
1337,Bronze Medal,CTR,Men's Team Pursuit,2021-08-04
1338,Bronze Medal,CTR,Men's Team Pursuit,2021-08-04
1339,Bronze Medal,CTR,Men's Team Pursuit,2021-08-04
1340,Bronze Medal,CTR,Men's Team Pursuit,2021-08-04
